             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.6701059        0.130000          331.95          201.13         0.04042            0.32    1.000+0.000j
      4.6701059        0.140000          321.86          190.76         0.04055            0.39    1.020+0.000j
      4.6701059        0.150000          312.07          180.72         0.04067            0.46    1.028+0.000j
      4.6701059        0.160000          302.58          171.09         0.04078            0.54    1.002+0.000j
      4.6701059        0.170000          293.41          161.85         0.04092            0.63    1.000+0.000j
      4.6701059        0.180000          284.56          153.02         0.04100            0.71    1.002+0.000j
      4.6701059        0.190000          276.04          144.62         0.04110            0.80    1.036+0.000j
      4.6701059        0.200000          267.87          136.65         0.04120            0.88    1.000+0.000j
      4.6701059        0.210000          260.04          129.10         0.04128            0.97    1.000+0.000j
      4.6701059        0.220000          252.55          121.95         0.04133            1.06    1.008+0.000j
      4.6701059        0.230000          245.42          115.25         0.04143            1.14    1.001+0.000j
      4.6701059        0.240000          238.63          108.93         0.04150            1.23    1.011+0.000j
      4.6701059        0.250000          232.18          102.97         0.04157            1.31    1.001+0.000j
      4.6701059        0.260000          226.07           97.39         0.04164            1.39    1.001+0.000j
      4.6701059        0.270000          220.31           92.15         0.04170            1.47    1.000+0.000j
      4.6701059        0.280000          214.88           87.23         0.04176            1.54    1.001+0.000j
      4.6701059        0.290000          209.78           82.64         0.04186            1.64    1.001+0.000j
      4.6701059        0.300000          205.01           78.30         0.04186            1.69    1.134+0.000j
      4.6701059        0.310000          200.55           74.26         0.04193            1.77    1.011+0.000j
      4.6701059        0.320000          196.41           70.45         0.04198            1.84    1.004+0.000j
      4.6701059        0.330000          192.59           66.88         0.04201            1.91    1.055+0.000j
      4.6701059        0.340000          189.07           63.53         0.04208            1.99    1.001+0.000j
      4.6701059        0.350000          185.85           60.40         0.04211            2.06    1.001+0.000j
      4.6701059        0.360000          182.92           57.46         0.04217            2.14    1.000+0.000j
      4.6701059        0.370000          180.29           54.68         0.04225            2.21    1.018+0.000j
