             x2           theta           chi^2     chi^2_gamma           delta     chi^2_delta        m_T(TeV) 
      4.7269802        5.176000          662.67           59.69         0.00827           14.18   10.000+0.000j
      4.7269802        5.188000          672.91           60.94         0.00838           14.05   10.000+0.000j
      4.7279703        4.000000          176.28           92.63         0.00123            8.10   10.000+0.000j
      4.7279703        4.012000          174.45           90.58         0.00126            8.05   10.000+0.000j
      4.7279703        4.024000          172.71           88.58         0.00128            8.00    9.999+0.000j
      4.7279703        4.036000          171.05           86.61         0.00130            7.96    9.990+0.000j
      4.7279703        4.048000          169.48           84.69         0.00133            7.92    9.998+0.000j
      4.7279703        4.060000          168.00           82.81         0.00135            7.89    9.999+0.000j
      4.7279703        4.072000          166.61           80.97         0.00138            7.86    9.993+0.000j
      4.7279703        4.084000          165.32           79.17         0.00140            7.83    9.998+0.000j
      4.7279703        4.096000          164.12           77.42         0.00143            7.81    9.991+0.000j
      4.7279703        4.108000          163.03           75.70         0.00146            7.79   10.000+0.000j
      4.7279703        4.120000          162.03           74.02         0.00148            7.78    9.989+0.000j
      4.7279703        4.132000          161.14           72.39         0.00151            7.77    9.991+0.000j
      4.7279703        4.144000          160.35           70.79         0.00154            7.77    9.997+0.000j
      4.7279703        4.156000          159.67           69.24         0.00157            7.77    9.998+0.000j
      4.7279703        4.168000          159.11           67.72         0.00160            7.78    9.995+0.000j
      4.7279703        4.180000          158.65           66.25         0.00164            7.80    9.995+0.000j
      4.7279703        4.192000          158.32           64.81         0.00167            7.82    9.994+0.000j
      4.7279703        4.204000          158.10           63.41         0.00170            7.85    9.998+0.000j
      4.7279703        4.216000          158.00           62.05         0.00174            7.89    9.999+0.000j
      4.7279703        4.228000          158.03           60.72         0.00178            7.93    9.999+0.000j
      4.7279703        4.240000          158.19           59.44         0.00181            7.98   10.000+0.000j
      4.7279703        4.252000          158.47           58.19         0.00185            8.04   10.000+0.000j
      4.7279703        4.264000          158.89           56.98         0.00189            8.10    9.997+0.000j
      4.7279703        4.276000          159.45           55.80         0.00193            8.17    9.994+0.000j
      4.7279703        4.288000          160.15           54.67         0.00197            8.25    9.996+0.000j
      4.7279703        4.300000          160.98           53.56         0.00201            8.34    9.999+0.000j
      4.7279703        4.312000          161.96           52.50         0.00205            8.44   10.000+0.000j
      4.7279703        4.324000          163.09           51.47         0.00210            8.54    9.998+0.000j
      4.7279703        4.336000          164.37           50.47         0.00214            8.66    9.991+0.000j
      4.7279703        4.348000          165.80           49.51         0.00219            8.78    9.999+0.000j
      4.7279703        4.360000          167.39           48.58         0.00224            8.90   10.000+0.000j
      4.7279703        4.372000          169.14           47.69         0.00229            9.04   10.000+0.000j
      4.7279703        4.384000          171.05           46.83         0.00234            9.18    9.998+0.000j
      4.7279703        4.396000          173.13           46.01         0.00239            9.33   10.000+0.000j
      4.7279703        4.408000          175.37           45.22         0.00244            9.50   10.000+0.000j
      4.7279703        4.420000          177.78           44.46         0.00250            9.66    9.994+0.000j
      4.7279703        4.432000          180.36           43.73         0.00255            9.88    9.988+0.000j
      4.7279703        4.444000          183.12           43.04         0.00261           10.02   10.000+0.000j
      4.7279703        4.456000          186.06           42.38         0.00266           10.21    9.998+0.000j
      4.7279703        4.468000          189.17           41.75         0.00272           10.40   10.000+0.000j
      4.7279703        4.480000          192.46           41.15         0.00278           10.60   10.000+0.000j
      4.7279703        4.492000          195.94           40.58         0.00284           10.81   10.000+0.000j
      4.7279703        4.504000          199.60           40.05         0.00291           11.02   10.000+0.000j
      4.7279703        4.516000          203.45           39.54         0.00297           11.24   10.000+0.000j
      4.7279703        4.528000          207.49           39.07         0.00304           11.45    9.999+0.000j
      4.7279703        4.540000          211.71           38.63         0.00310           11.68   10.000+0.000j
      4.7279703        4.552000          216.13           38.21         0.00317           11.90   10.000+0.000j
      4.7279703        4.564000          220.73           37.83         0.00324           12.13   10.000+0.000j
      4.7279703        4.576000          225.53           37.48         0.00331           12.35   10.000+0.000j
      4.7279703        4.588000          230.51           37.15         0.00338           12.58    9.999+0.000j
      4.7279703        4.600000          235.69           36.86         0.00346           12.80   10.000+0.000j
      4.7279703        4.612000          241.06           36.59         0.00353           13.03    9.999+0.000j
      4.7279703        4.624000          246.62           36.36         0.00361           13.25    9.999+0.000j
      4.7279703        4.636000          252.37           36.15         0.00369           13.48    9.999+0.000j
      4.7279703        4.648000          258.31           35.97         0.00376           13.69   10.000+0.000j
      4.7279703        4.660000          264.44           35.82         0.00384           13.91    9.999+0.000j
      4.7279703        4.672000          270.76           35.70         0.00393           14.11    9.998+0.000j
      4.7279703        4.684000          277.26           35.61         0.00401           14.31   10.000+0.000j
      4.7279703        4.696000          283.95           35.55         0.00409           14.51   10.000+0.000j
      4.7279703        4.708000          290.82           35.52         0.00418           14.70   10.000+0.000j
      4.7279703        4.720000          297.86           35.51         0.00427           14.88   10.000+0.000j
